lineage_ID,type,value
1.0,outsider,0.0
1.0,end,9.0
1.0,end,21.0
1.0,end,32.0
1.0,end,46.0
1.0,end,56.0
1.0,end,68.0
1.0,end,95.0
1.0,start,198.0
1.0,end,106.0
1.0,end,131.0
1.0,end,152.0
1.0,end,162.0
1.0,end,173.0
1.0,end,187.0
1.0,end,197.0
1.0,end,212.0
1.0,end,119.0
1.0,start,188.0
1.0,end,81.0
1.0,start,163.0
1.0,start,174.0
1.0,outsider,9.0
1.0,outsider,152.0
1.0,start,0.0
1.0,start,10.0
1.0,start,22.0
1.0,start,33.0
1.0,start,47.0
1.0,outsider,132.0
1.0,start,69.0
1.0,start,82.0
1.0,start,96.0
1.0,start,107.0
1.0,start,120.0
1.0,start,132.0
1.0,start,153.0
1.0,start,57.0
2.0,end,18.0
2.0,end,30.0
2.0,end,40.0
2.0,end,51.0
2.0,end,66.0
2.0,end,84.0
2.0,end,102.0
2.0,end,156.0
2.0,end,127.0
2.0,end,140.0
2.0,end,171.0
2.0,end,184.0
2.0,end,195.0
2.0,end,209.0
2.0,end,7.0
2.0,end,114.0
2.0,start,196.0
2.0,start,8.0
2.0,start,172.0
2.0,outsider,0.0
2.0,outsider,7.0
2.0,start,185.0
2.0,start,19.0
2.0,start,31.0
2.0,start,41.0
2.0,start,52.0
2.0,start,0.0
2.0,start,85.0
2.0,start,103.0
2.0,start,115.0
2.0,start,128.0
2.0,start,141.0
2.0,start,157.0
2.0,start,67.0
3.0,end,25.0
3.0,end,37.0
3.0,end,49.0
3.0,end,64.0
3.0,end,76.0
3.0,end,112.0
3.0,end,99.0
3.0,end,128.0
3.0,end,139.0
3.0,end,14.0
3.0,end,86.0
3.0,start,129.0
3.0,start,50.0
3.0,start,100.0
3.0,outsider,14.0
3.0,start,0.0
3.0,start,15.0
3.0,start,26.0
3.0,outsider,0.0
3.0,start,113.0
3.0,start,65.0
3.0,start,77.0
3.0,start,87.0
3.0,start,38.0
4.0,end,14.0
4.0,end,140.0
4.0,end,128.0
4.0,end,115.0
4.0,end,102.0
4.0,end,95.0
4.0,end,76.0
4.0,end,61.0
4.0,end,48.0
4.0,end,37.0
4.0,start,129.0
4.0,end,25.0
4.0,start,103.0
4.0,start,116.0
4.0,outsider,0.0
4.0,outsider,14.0
4.0,start,15.0
4.0,start,26.0
4.0,start,0.0
4.0,start,49.0
4.0,start,62.0
4.0,start,77.0
4.0,start,96.0
4.0,start,38.0
5.0,end,115.0
5.0,end,174.0
5.0,end,164.0
5.0,end,155.0
5.0,end,137.0
5.0,end,124.0
5.0,end,103.0
5.0,end,30.0
5.0,end,78.0
5.0,end,66.0
5.0,end,53.0
5.0,end,43.0
5.0,end,20.0
5.0,end,9.0
5.0,end,186.0
5.0,end,89.0
5.0,end,195.0
5.0,end,408.0
5.0,end,219.0
5.0,start,398.0
5.0,end,397.0
5.0,end,382.0
5.0,end,370.0
5.0,end,360.0
5.0,end,344.0
5.0,end,334.0
5.0,end,207.0
5.0,end,324.0
5.0,end,300.0
5.0,end,287.0
5.0,end,275.0
5.0,end,264.0
5.0,end,256.0
5.0,end,244.0
5.0,end,232.0
5.0,end,310.0
5.0,start,383.0
5.0,start,265.0
5.0,start,361.0
5.0,start,125.0
5.0,start,116.0
5.0,start,104.0
5.0,start,90.0
5.0,start,79.0
5.0,start,67.0
5.0,start,54.0
5.0,start,44.0
5.0,start,31.0
5.0,start,21.0
5.0,start,10.0
5.0,start,0.0
5.0,outsider,155.0
5.0,outsider,9.0
5.0,outsider,0.0
5.0,start,138.0
5.0,start,156.0
5.0,outsider,138.0
5.0,start,175.0
5.0,start,165.0
5.0,start,345.0
5.0,start,335.0
5.0,start,325.0
5.0,start,311.0
5.0,start,301.0
5.0,start,288.0
5.0,start,276.0
5.0,start,371.0
5.0,start,257.0
5.0,start,245.0
5.0,start,233.0
5.0,start,220.0
5.0,start,208.0
5.0,start,196.0
5.0,start,187.0
6.0,end,129.0
6.0,end,116.0
6.0,end,103.0
6.0,end,91.0
6.0,end,77.0
6.0,end,69.0
6.0,end,30.0
6.0,end,44.0
6.0,end,143.0
6.0,end,20.0
6.0,end,9.0
6.0,start,361.0
6.0,start,347.0
6.0,end,58.0
6.0,end,158.0
6.0,end,204.0
6.0,end,181.0
6.0,start,334.0
6.0,end,360.0
6.0,end,346.0
6.0,end,333.0
6.0,end,321.0
6.0,end,307.0
6.0,end,173.0
6.0,end,295.0
6.0,end,256.0
6.0,end,242.0
6.0,end,229.0
6.0,end,216.0
6.0,end,401.0
6.0,end,190.0
6.0,end,281.0
6.0,end,269.0
6.0,start,322.0
6.0,start,296.0
6.0,start,308.0
6.0,outsider,0.0
6.0,outsider,174.0
6.0,outsider,361.0
6.0,outsider,9.0
6.0,outsider,181.0
6.0,outsider,401.0
6.0,start,0.0
6.0,start,10.0
6.0,start,21.0
6.0,start,45.0
6.0,start,59.0
6.0,start,70.0
6.0,start,78.0
6.0,start,92.0
6.0,start,31.0
6.0,start,117.0
6.0,start,282.0
6.0,start,104.0
6.0,start,257.0
6.0,start,243.0
6.0,start,230.0
6.0,start,217.0
6.0,start,205.0
6.0,start,270.0
6.0,start,182.0
6.0,start,174.0
6.0,start,159.0
6.0,start,144.0
6.0,start,130.0
6.0,start,191.0
7.0,end,23.0
7.0,end,38.0
7.0,end,49.0
7.0,end,57.0
7.0,end,69.0
7.0,end,107.0
7.0,end,94.0
7.0,end,121.0
7.0,end,135.0
7.0,end,9.0
7.0,end,83.0
7.0,start,122.0
7.0,outsider,9.0
7.0,start,95.0
7.0,start,84.0
7.0,start,70.0
7.0,start,58.0
7.0,start,50.0
7.0,start,39.0
7.0,start,24.0
7.0,start,10.0
7.0,start,0.0
7.0,outsider,0.0
7.0,start,108.0
8.0,end,18.0
8.0,end,30.0
8.0,end,41.0
8.0,end,52.0
8.0,end,62.0
8.0,end,126.0
8.0,end,85.0
8.0,end,98.0
8.0,end,113.0
8.0,end,9.0
8.0,end,73.0
8.0,start,114.0
8.0,outsider,0.0
8.0,start,86.0
8.0,outsider,9.0
8.0,start,0.0
8.0,start,10.0
8.0,start,19.0
8.0,start,99.0
8.0,start,42.0
8.0,start,53.0
8.0,start,63.0
8.0,start,74.0
8.0,start,31.0
9.0,end,130.0
9.0,end,10.0
9.0,end,21.0
9.0,end,34.0
9.0,end,45.0
9.0,end,65.0
9.0,end,89.0
9.0,end,97.0
9.0,end,107.0
9.0,end,118.0
9.0,end,144.0
9.0,end,216.0
9.0,end,169.0
9.0,end,179.0
9.0,end,194.0
9.0,end,204.0
9.0,start,273.0
9.0,end,228.0
9.0,end,241.0
9.0,end,250.0
9.0,end,262.0
9.0,end,272.0
9.0,end,285.0
9.0,end,157.0
9.0,start,263.0
9.0,end,73.0
9.0,start,242.0
9.0,start,251.0
9.0,outsider,46.0
9.0,outsider,10.0
9.0,outsider,65.0
9.0,start,0.0
9.0,start,11.0
9.0,start,22.0
9.0,start,35.0
9.0,start,46.0
9.0,start,66.0
9.0,start,74.0
9.0,start,90.0
9.0,outsider,0.0
9.0,start,108.0
9.0,start,98.0
9.0,start,217.0
9.0,start,205.0
9.0,start,195.0
9.0,start,180.0
9.0,start,229.0
9.0,start,158.0
9.0,start,145.0
9.0,start,131.0
9.0,start,119.0
9.0,start,170.0
10.0,end,17.0
10.0,end,118.0
10.0,end,108.0
10.0,end,95.0
10.0,end,83.0
10.0,end,59.0
10.0,end,45.0
10.0,end,33.0
10.0,end,24.0
10.0,end,131.0
10.0,end,71.0
10.0,end,144.0
10.0,end,217.0
10.0,end,166.0
10.0,end,177.0
10.0,end,189.0
10.0,end,204.0
10.0,end,230.0
10.0,end,241.0
10.0,end,251.0
10.0,end,263.0
10.0,end,273.0
10.0,end,285.0
10.0,start,274.0
10.0,end,154.0
10.0,start,264.0
10.0,outsider,24.0
10.0,start,242.0
10.0,outsider,0.0
10.0,outsider,18.0
10.0,outsider,17.0
10.0,start,252.0
10.0,start,0.0
10.0,start,18.0
10.0,start,25.0
10.0,start,34.0
10.0,start,60.0
10.0,start,72.0
10.0,start,84.0
10.0,start,46.0
10.0,start,109.0
10.0,start,231.0
10.0,start,218.0
10.0,start,96.0
10.0,start,190.0
10.0,start,178.0
10.0,start,205.0
10.0,start,155.0
10.0,start,145.0
10.0,start,132.0
10.0,start,119.0
10.0,start,167.0
11.0,end,78.0
11.0,end,209.0
11.0,end,17.0
11.0,end,29.0
11.0,end,40.0
11.0,end,51.0
11.0,end,65.0
11.0,end,92.0
11.0,start,198.0
11.0,end,121.0
11.0,end,135.0
11.0,end,147.0
11.0,end,158.0
11.0,end,168.0
11.0,end,188.0
11.0,end,197.0
11.0,end,106.0
11.0,start,189.0
11.0,end,7.0
11.0,start,159.0
11.0,outsider,0.0
11.0,outsider,169.0
11.0,outsider,7.0
11.0,outsider,188.0
11.0,start,0.0
11.0,start,8.0
11.0,start,18.0
11.0,start,30.0
11.0,start,169.0
11.0,start,52.0
11.0,start,66.0
11.0,start,79.0
11.0,start,93.0
11.0,start,107.0
11.0,start,122.0
11.0,start,136.0
11.0,start,148.0
11.0,start,41.0
12.0,end,30.0
12.0,end,42.0
12.0,end,52.0
12.0,end,66.0
12.0,end,78.0
12.0,end,88.0
12.0,end,101.0
12.0,end,148.0
12.0,end,121.0
12.0,end,135.0
12.0,end,7.0
12.0,end,161.0
12.0,end,175.0
12.0,end,188.0
12.0,end,204.0
12.0,end,110.0
12.0,start,189.0
12.0,end,17.0
12.0,start,162.0
12.0,start,176.0
12.0,outsider,7.0
12.0,start,0.0
12.0,start,8.0
12.0,start,18.0
12.0,start,31.0
12.0,start,43.0
12.0,start,53.0
12.0,outsider,0.0
12.0,start,79.0
12.0,start,67.0
12.0,start,136.0
12.0,start,122.0
12.0,start,149.0
12.0,start,102.0
12.0,start,89.0
12.0,start,111.0
13.0,end,9.0
13.0,end,19.0
13.0,end,31.0
13.0,end,43.0
13.0,end,56.0
13.0,end,68.0
13.0,end,91.0
13.0,end,106.0
13.0,end,132.0
13.0,end,148.0
13.0,end,159.0
13.0,end,170.0
13.0,start,160.0
13.0,end,80.0
13.0,end,118.0
13.0,start,149.0
13.0,start,119.0
13.0,start,133.0
13.0,outsider,0.0
13.0,outsider,9.0
13.0,start,0.0
13.0,start,20.0
13.0,start,32.0
13.0,start,10.0
13.0,start,57.0
13.0,start,69.0
13.0,start,81.0
13.0,start,92.0
13.0,start,107.0
13.0,start,44.0
14.0,end,77.0
14.0,end,28.0
14.0,end,41.0
14.0,end,54.0
14.0,end,88.0
14.0,end,161.0
14.0,end,114.0
14.0,end,126.0
14.0,end,137.0
14.0,end,149.0
14.0,end,14.0
14.0,end,101.0
14.0,start,150.0
14.0,end,65.0
14.0,start,127.0
14.0,start,138.0
14.0,outsider,14.0
14.0,start,0.0
14.0,start,15.0
14.0,start,29.0
14.0,start,42.0
14.0,outsider,0.0
14.0,start,66.0
14.0,start,78.0
14.0,start,89.0
14.0,start,102.0
14.0,start,55.0
14.0,start,115.0
15.0,end,129.0
15.0,end,117.0
15.0,end,106.0
15.0,end,95.0
15.0,end,67.0
15.0,end,74.0
15.0,end,47.0
15.0,end,37.0
15.0,end,30.0
15.0,end,141.0
15.0,end,85.0
15.0,end,156.0
15.0,end,240.0
15.0,end,183.0
15.0,end,200.0
15.0,end,211.0
15.0,end,218.0
15.0,end,228.0
15.0,end,250.0
15.0,end,262.0
15.0,end,275.0
15.0,end,288.0
15.0,end,300.0
15.0,end,25.0
15.0,end,165.0
15.0,start,289.0
15.0,start,31.0
15.0,start,263.0
15.0,outsider,0.0
15.0,start,0.0
15.0,start,26.0
15.0,start,276.0
15.0,start,38.0
15.0,start,48.0
15.0,start,68.0
15.0,start,75.0
15.0,start,86.0
15.0,start,96.0
15.0,start,107.0
15.0,outsider,25.0
15.0,start,130.0
15.0,start,142.0
15.0,start,157.0
15.0,start,166.0
15.0,start,184.0
15.0,start,201.0
15.0,start,212.0
15.0,start,219.0
15.0,start,229.0
15.0,start,241.0
15.0,start,251.0
15.0,start,118.0
16.0,end,112.0
16.0,end,98.0
16.0,end,85.0
16.0,end,24.0
16.0,end,61.0
16.0,end,47.0
16.0,end,35.0
16.0,end,125.0
16.0,end,74.0
16.0,end,138.0
16.0,end,237.0
16.0,end,182.0
16.0,end,196.0
16.0,end,209.0
16.0,end,224.0
16.0,end,250.0
16.0,end,260.0
16.0,end,272.0
16.0,end,290.0
16.0,end,309.0
16.0,end,12.0
16.0,end,154.0
16.0,start,291.0
16.0,end,170.0
16.0,start,261.0
16.0,start,273.0
16.0,outsider,0.0
16.0,outsider,12.0
16.0,start,0.0
16.0,start,25.0
16.0,start,36.0
16.0,start,48.0
16.0,start,62.0
16.0,start,75.0
16.0,start,86.0
16.0,start,99.0
16.0,start,13.0
16.0,start,225.0
16.0,start,126.0
16.0,start,139.0
16.0,start,155.0
16.0,start,171.0
16.0,start,183.0
16.0,start,197.0
16.0,start,210.0
16.0,start,238.0
16.0,start,113.0
16.0,start,251.0
17.0,end,64.0
17.0,end,55.0
17.0,end,204.0
17.0,end,32.0
17.0,end,81.0
17.0,end,25.0
17.0,end,43.0
17.0,end,94.0
17.0,end,159.0
17.0,end,118.0
17.0,end,129.0
17.0,end,144.0
17.0,end,168.0
17.0,end,177.0
17.0,end,189.0
17.0,end,10.0
17.0,end,105.0
17.0,start,190.0
17.0,start,130.0
17.0,start,169.0
17.0,start,178.0
17.0,outsider,0.0
17.0,outsider,10.0
17.0,start,0.0
17.0,start,11.0
17.0,start,33.0
17.0,start,44.0
17.0,start,26.0
17.0,start,65.0
17.0,start,82.0
17.0,start,95.0
17.0,start,106.0
17.0,start,119.0
17.0,start,145.0
17.0,start,160.0
17.0,start,56.0
18.0,end,96.0
18.0,end,33.0
18.0,end,47.0
18.0,end,59.0
18.0,end,71.0
18.0,end,82.0
18.0,end,109.0
18.0,end,23.0
18.0,end,136.0
18.0,end,151.0
18.0,end,162.0
18.0,end,174.0
18.0,end,188.0
18.0,end,201.0
18.0,end,123.0
18.0,start,189.0
18.0,end,11.0
18.0,start,163.0
18.0,start,175.0
18.0,outsider,11.0
18.0,start,0.0
18.0,start,12.0
18.0,start,24.0
18.0,start,34.0
18.0,start,48.0
18.0,start,60.0
18.0,outsider,0.0
18.0,start,83.0
18.0,start,97.0
18.0,start,110.0
18.0,start,124.0
18.0,start,137.0
18.0,start,152.0
18.0,start,72.0
19.0,end,197.0
19.0,end,184.0
19.0,end,171.0
19.0,end,159.0
19.0,end,149.0
19.0,end,130.0
19.0,end,120.0
19.0,end,55.0
19.0,end,85.0
19.0,start,439.0
19.0,end,45.0
19.0,end,26.0
19.0,end,15.0
19.0,start,449.0
19.0,end,212.0
19.0,end,105.0
19.0,end,221.0
19.0,end,339.0
19.0,end,247.0
19.0,end,459.0
19.0,end,448.0
19.0,end,438.0
19.0,end,427.0
19.0,end,415.0
19.0,end,403.0
19.0,end,391.0
19.0,end,376.0
19.0,end,368.0
19.0,end,361.0
19.0,end,349.0
19.0,start,428.0
19.0,end,315.0
19.0,end,303.0
19.0,end,287.0
19.0,end,275.0
19.0,end,263.0
19.0,end,235.0
19.0,start,416.0
19.0,end,72.0
19.0,start,392.0
19.0,start,106.0
19.0,start,86.0
19.0,start,73.0
19.0,start,56.0
19.0,start,46.0
19.0,start,27.0
19.0,start,16.0
19.0,start,121.0
19.0,start,0.0
19.0,outsider,349.0
19.0,outsider,339.0
19.0,outsider,15.0
19.0,outsider,350.0
19.0,outsider,340.0
19.0,start,404.0
19.0,outsider,0.0
19.0,outsider,361.0
19.0,start,131.0
19.0,outsider,316.0
19.0,start,160.0
19.0,start,150.0
19.0,start,369.0
19.0,start,362.0
19.0,start,350.0
19.0,start,340.0
19.0,start,316.0
19.0,start,304.0
19.0,start,288.0
19.0,start,377.0
19.0,start,264.0
19.0,start,248.0
19.0,start,236.0
19.0,start,222.0
19.0,start,213.0
19.0,start,198.0
19.0,start,185.0
19.0,start,276.0
19.0,start,172.0
20.0,end,180.0
20.0,end,167.0
20.0,end,159.0
20.0,end,143.0
20.0,end,130.0
20.0,end,119.0
20.0,end,453.0
20.0,end,94.0
20.0,end,81.0
20.0,end,55.0
20.0,end,45.0
20.0,end,29.0
20.0,end,15.0
20.0,end,190.0
20.0,end,106.0
20.0,end,204.0
20.0,end,350.0
20.0,end,232.0
20.0,start,439.0
20.0,end,438.0
20.0,end,427.0
20.0,end,414.0
20.0,end,400.0
20.0,end,390.0
20.0,end,379.0
20.0,end,361.0
20.0,end,334.0
20.0,end,321.0
20.0,end,311.0
20.0,end,287.0
20.0,end,276.0
20.0,end,259.0
20.0,end,247.0
20.0,end,216.0
20.0,start,428.0
20.0,end,67.0
20.0,start,401.0
20.0,start,131.0
20.0,start,120.0
20.0,start,107.0
20.0,start,95.0
20.0,start,82.0
20.0,start,68.0
20.0,start,56.0
20.0,start,46.0
20.0,start,16.0
20.0,start,0.0
20.0,outsider,311.0
20.0,outsider,15.0
20.0,outsider,288.0
20.0,outsider,0.0
20.0,start,415.0
20.0,start,144.0
20.0,start,160.0
20.0,start,30.0
20.0,start,181.0
20.0,start,168.0
20.0,start,391.0
20.0,start,380.0
20.0,start,362.0
20.0,start,335.0
20.0,start,322.0
20.0,start,312.0
20.0,start,351.0
20.0,start,277.0
20.0,start,260.0
20.0,start,248.0
20.0,start,233.0
20.0,start,217.0
20.0,start,205.0
20.0,start,288.0
20.0,start,191.0
21.0,end,17.0
21.0,end,97.0
21.0,end,85.0
21.0,end,70.0
21.0,end,25.0
21.0,end,47.0
21.0,end,36.0
21.0,end,110.0
21.0,end,56.0
21.0,end,120.0
21.0,end,219.0
21.0,end,148.0
21.0,end,161.0
21.0,end,171.0
21.0,end,182.0
21.0,end,192.0
21.0,end,205.0
21.0,end,231.0
21.0,end,241.0
21.0,end,7.0
21.0,end,136.0
21.0,start,232.0
21.0,start,137.0
21.0,start,206.0
21.0,start,220.0
21.0,outsider,0.0
21.0,outsider,7.0
21.0,start,0.0
21.0,start,8.0
21.0,start,18.0
21.0,start,37.0
21.0,start,48.0
21.0,start,57.0
21.0,start,71.0
21.0,start,26.0
21.0,start,98.0
21.0,start,86.0
21.0,start,183.0
21.0,start,172.0
21.0,start,162.0
21.0,start,193.0
21.0,start,121.0
21.0,start,111.0
21.0,start,149.0
22.0,end,14.0
22.0,end,110.0
22.0,end,25.0
22.0,end,34.0
22.0,end,43.0
22.0,end,55.0
22.0,end,70.0
22.0,end,82.0
22.0,end,94.0
22.0,end,120.0
22.0,end,254.0
22.0,end,148.0
22.0,end,160.0
22.0,end,174.0
22.0,end,185.0
22.0,end,199.0
22.0,end,214.0
22.0,end,225.0
22.0,end,240.0
22.0,end,7.0
22.0,end,138.0
22.0,start,241.0
22.0,start,35.0
22.0,start,215.0
22.0,start,226.0
22.0,outsider,0.0
22.0,outsider,7.0
22.0,start,0.0
22.0,start,8.0
22.0,start,15.0
22.0,start,44.0
22.0,start,56.0
22.0,start,71.0
22.0,start,26.0
22.0,start,95.0
