lineage_ID,type,value
1.0,outsider,0.0
1.0,end,22.0
1.0,end,36.0
1.0,end,48.0
1.0,end,63.0
1.0,end,73.0
1.0,end,85.0
1.0,end,96.0
1.0,end,113.0
1.0,end,127.0
1.0,end,146.0
1.0,end,157.0
1.0,end,11.0
1.0,end,181.0
1.0,end,207.0
1.0,end,218.0
1.0,end,230.0
1.0,end,241.0
1.0,end,253.0
1.0,end,268.0
1.0,end,277.0
1.0,end,288.0
1.0,end,303.0
1.0,end,314.0
1.0,end,324.0
1.0,end,193.0
1.0,start,315.0
1.0,end,170.0
1.0,start,289.0
1.0,start,304.0
1.0,outsider,11.0
1.0,start,0.0
1.0,start,12.0
1.0,start,23.0
1.0,start,37.0
1.0,start,49.0
1.0,start,64.0
1.0,start,86.0
1.0,start,97.0
1.0,start,114.0
1.0,start,128.0
1.0,start,74.0
1.0,start,269.0
1.0,start,278.0
1.0,start,147.0
1.0,start,254.0
1.0,start,242.0
1.0,start,219.0
1.0,start,231.0
1.0,start,194.0
1.0,start,182.0
1.0,start,171.0
1.0,start,158.0
1.0,start,208.0
2.0,end,97.0
2.0,end,135.0
2.0,end,121.0
2.0,end,111.0
2.0,end,83.0
2.0,end,18.0
2.0,end,55.0
2.0,end,43.0
2.0,end,31.0
2.0,end,145.0
2.0,end,69.0
2.0,end,161.0
2.0,end,323.0
2.0,end,182.0
2.0,end,193.0
2.0,end,204.0
2.0,end,220.0
2.0,end,232.0
2.0,end,244.0
2.0,end,257.0
2.0,end,269.0
2.0,end,285.0
2.0,end,297.0
2.0,end,310.0
2.0,end,9.0
2.0,end,172.0
2.0,start,311.0
2.0,start,44.0
2.0,start,286.0
2.0,outsider,0.0
2.0,outsider,9.0
2.0,start,0.0
2.0,start,10.0
2.0,start,19.0
2.0,start,32.0
2.0,start,298.0
2.0,start,56.0
2.0,start,70.0
2.0,start,84.0
2.0,start,112.0
2.0,start,122.0
2.0,start,98.0
2.0,start,146.0
2.0,start,270.0
2.0,start,258.0
2.0,start,245.0
2.0,start,136.0
2.0,start,221.0
2.0,start,233.0
2.0,start,194.0
2.0,start,183.0
2.0,start,173.0
2.0,start,162.0
2.0,start,205.0
3.0,end,85.0
3.0,end,37.0
3.0,end,49.0
3.0,end,64.0
3.0,end,74.0
3.0,end,99.0
3.0,end,25.0
3.0,end,128.0
3.0,end,140.0
3.0,end,163.0
3.0,end,172.0
3.0,end,184.0
3.0,end,114.0
3.0,end,14.0
3.0,start,173.0
3.0,start,164.0
3.0,outsider,14.0
3.0,start,0.0
3.0,start,15.0
3.0,start,26.0
3.0,start,38.0
3.0,start,50.0
3.0,outsider,0.0
3.0,start,75.0
3.0,start,86.0
3.0,start,100.0
3.0,start,115.0
3.0,start,129.0
3.0,start,141.0
3.0,start,65.0
4.0,end,39.0
4.0,end,50.0
4.0,end,67.0
4.0,end,79.0
4.0,end,92.0
4.0,end,106.0
4.0,end,139.0
4.0,end,128.0
4.0,end,153.0
4.0,end,167.0
4.0,end,180.0
4.0,end,25.0
4.0,end,117.0
4.0,start,168.0
4.0,end,14.0
4.0,start,140.0
4.0,start,154.0
4.0,outsider,0.0
4.0,outsider,14.0
4.0,start,0.0
4.0,start,26.0
4.0,start,40.0
4.0,start,51.0
4.0,start,15.0
4.0,start,80.0
4.0,start,93.0
4.0,start,107.0
4.0,start,118.0
4.0,start,129.0
4.0,start,68.0
5.0,end,93.0
5.0,end,33.0
5.0,end,22.0
5.0,end,51.0
5.0,end,58.0
5.0,end,69.0
5.0,end,85.0
5.0,end,106.0
5.0,end,192.0
5.0,end,126.0
5.0,end,142.0
5.0,end,151.0
5.0,end,164.0
5.0,end,181.0
5.0,end,202.0
5.0,end,11.0
5.0,end,117.0
5.0,start,182.0
5.0,start,143.0
5.0,start,165.0
5.0,start,193.0
5.0,outsider,11.0
5.0,start,0.0
5.0,start,12.0
5.0,start,23.0
5.0,start,34.0
5.0,start,52.0
5.0,start,59.0
5.0,outsider,0.0
5.0,start,86.0
5.0,start,94.0
5.0,start,107.0
5.0,start,118.0
5.0,start,127.0
5.0,start,152.0
5.0,start,70.0
6.0,end,22.0
6.0,end,38.0
6.0,end,48.0
6.0,end,59.0
6.0,end,74.0
6.0,end,86.0
6.0,end,99.0
6.0,end,142.0
6.0,end,125.0
6.0,end,158.0
6.0,end,171.0
6.0,end,181.0
6.0,end,195.0
6.0,end,10.0
6.0,end,209.0
6.0,end,113.0
6.0,start,196.0
6.0,start,100.0
6.0,start,172.0
6.0,outsider,0.0
6.0,outsider,10.0
6.0,start,0.0
6.0,start,11.0
6.0,start,23.0
6.0,start,182.0
6.0,start,49.0
6.0,start,39.0
6.0,start,75.0
6.0,start,87.0
6.0,start,114.0
6.0,start,126.0
6.0,start,143.0
6.0,start,159.0
6.0,start,60.0
7.0,end,47.0
7.0,end,23.0
7.0,end,35.0
7.0,end,60.0
7.0,end,10.0
7.0,end,83.0
7.0,end,97.0
7.0,end,124.0
7.0,end,73.0
7.0,start,111.0
7.0,end,110.0
7.0,start,84.0
7.0,start,98.0
7.0,outsider,10.0
7.0,start,0.0
7.0,start,11.0
7.0,outsider,0.0
7.0,start,36.0
7.0,start,48.0
7.0,start,61.0
7.0,start,74.0
7.0,start,24.0
8.0,end,23.0
8.0,end,132.0
8.0,end,119.0
8.0,end,105.0
8.0,end,96.0
8.0,end,78.0
8.0,end,64.0
8.0,end,52.0
8.0,end,35.0
8.0,end,10.0
8.0,start,120.0
8.0,start,0.0
8.0,start,97.0
8.0,start,79.0
8.0,start,65.0
8.0,start,53.0
8.0,start,36.0
8.0,start,24.0
8.0,start,11.0
8.0,outsider,10.0
8.0,outsider,0.0
8.0,start,106.0
9.0,end,55.0
9.0,end,40.0
9.0,end,13.0
9.0,end,68.0
9.0,end,25.0
9.0,end,80.0
9.0,end,156.0
9.0,end,107.0
9.0,end,119.0
9.0,end,129.0
9.0,end,141.0
9.0,end,97.0
9.0,start,142.0
9.0,start,0.0
9.0,start,120.0
9.0,start,130.0
9.0,outsider,0.0
9.0,outsider,13.0
9.0,start,26.0
9.0,start,41.0
9.0,start,14.0
9.0,start,69.0
9.0,start,81.0
9.0,start,98.0
9.0,start,108.0
9.0,start,56.0
10.0,end,66.0
10.0,end,24.0
10.0,end,39.0
10.0,end,51.0
10.0,end,76.0
10.0,end,160.0
10.0,end,107.0
10.0,end,116.0
